946::{1=12, 3=11}::{1=1, 3=1}::{1=13, 3=16}
867::{1=19, 3=16}::{1=14, 3=18}::{1=21, 3=26}
856::{1=21, 3=19}::{1=23, 3=27}::{1=26, 3=29}
859::{1=25, 3=20}::{1=27, 3=31}::{1=27, 3=34}
809::{1=0, 3=0}::{1=28, 3=36}::{1=28, 3=37}
689::{1=40, 3=30}::{1=28, 3=36}::{1=43, 3=53}
669::{1=55, 3=45}::{1=45, 3=54}::{1=63, 3=68}
904::{1=8, 3=9}::{1=1, 3=1}::{1=11, 3=17}
982::{1=12, 3=13}::{1=1, 3=1}::{1=16, 3=12}
862::{1=15, 3=19}::{1=18, 3=13}::{1=24, 3=23}
796::{1=16, 3=21}::{1=25, 3=25}::{1=29, 3=26}
756::{1=20, 3=23}::{1=31, 3=27}::{1=34, 3=28}
738::{1=21, 3=0}::{1=35, 3=30}::{1=35, 3=31}
1007::{1=11, 3=11}::{1=1, 3=1}::{1=17, 3=11}
758::{1=25, 3=0}::{1=28, 3=23}::{1=35, 3=31}
550::{1=35, 3=0}::{1=28, 3=23}::{1=50, 3=48}
877::{1=12, 3=12}::{1=1, 3=1}::{1=18, 3=10}
751::{1=16, 3=18}::{1=20, 3=11}::{1=22, 3=25}
728::{1=18, 3=20}::{1=23, 3=27}::{1=24, 3=31}
723::{1=21, 3=23}::{1=25, 3=33}::{1=27, 3=34}
687::{1=24, 3=24}::{1=28, 3=36}::{1=29, 3=37}
875::{1=9, 3=8}::{1=1, 3=1}::{1=16, 3=12}
893::{1=15, 3=16}::{1=17, 3=14}::{1=23, 3=23}
831::{1=19, 3=17}::{1=25, 3=24}::{1=29, 3=25}
817::{1=22, 3=18}::{1=31, 3=26}::{1=32, 3=29}
801::{1=24, 3=0}::{1=34, 3=0}::{1=36, 3=0}
765::{1=37, 3=26}::{1=34, 3=30}::{1=50, 3=46}
645::{1=48, 3=35}::{1=51, 3=48}::{1=70, 3=61}
953::{1=10, 3=10}::{1=1, 3=1}::{1=10, 3=18}
820::{1=19, 3=13}::{1=11, 3=20}::{1=17, 3=31}
759::{1=21, 3=16}::{1=18, 3=33}::{1=22, 3=33}
778::{1=27, 3=18}::{1=24, 3=34}::{1=27, 3=35}
829::{1=30, 3=22}::{1=0, 3=36}::{1=28, 3=38}
662::{1=37, 3=33}::{1=29, 3=36}::{1=41, 3=56}
971::{1=10, 3=14}::{1=1, 3=1}::{1=17, 3=11}
960::{1=15, 3=22}::{1=19, 3=12}::{1=27, 3=20}
889::{1=17, 3=23}::{1=29, 3=21}::{1=29, 3=25}
864::{1=18, 3=27}::{1=31, 3=26}::{1=31, 3=31}
840::{1=19, 3=28}::{1=0, 3=32}::{1=32, 3=34}
749::{1=30, 3=39}::{1=33, 3=32}::{1=48, 3=49}
575::{1=37, 3=49}::{1=49, 3=51}::{1=64, 3=68}
CHKPTID1::956::{1=10, 3=13}::{1=1, 3=1}::{1=15, 3=13}
CHKPTID2::936::{1=19, 3=19}::{1=17, 3=14}::{1=24, 3=23}
CHKPTID3::952::{1=20, 3=22}::{1=25, 3=25}::{1=27, 3=27}
CHKPTID4::969::{1=21, 3=27}::{1=29, 3=28}::{1=30, 3=31}
CHKPTID5::973::{1=23, 3=29}::{1=0, 3=33}::{1=0, 3=35}
CHKPTID6::880::{1=31, 3=38}::{1=31, 3=33}::{1=50, 3=46}
CHKPTID1::923::{1=6, 3=2}::{1=1, 3=1}::{1=10, 3=7}
CHKPTID2::902::{1=9, 3=5}::{1=11, 3=9}::{1=13, 3=11}
CHKPTID3::864::{1=10, 3=7}::{1=15, 3=0}::{1=17, 3=0}
CHKPTID4::829::{1=12, 3=10}::{1=19, 3=12}::{1=20, 3=16}
CHKPTID1::892::{1=2, 3=5}::{1=1, 3=1}::{1=8, 3=9}
CHKPTID2::866::{1=5, 3=7}::{1=9, 3=11}::{1=10, 3=15}
CHKPTID3::886::{1=6, 3=9}::{1=12, 3=16}::{1=12, 3=16}
CHKPTID4::858::{1=9, 3=12}::{1=14, 3=17}::{1=14, 3=22}
CHKPTID5::778::{1=17, 3=19}::{1=14, 3=17}::{1=26, 3=32}
CHKPTID1::903::{1=5, 3=3}::{1=1, 3=1}::{1=8, 3=8}
CHKPTID2::870::{1=9, 3=5}::{1=10, 3=9}::{1=13, 3=12}
CHKPTID3::887::{1=10, 3=6}::{1=0, 3=14}::{1=0, 3=14}
CHKPTID4::839::{1=12, 3=8}::{1=14, 3=15}::{1=20, 3=16}
CHKPTID5::822::{1=15, 3=8}::{1=14, 3=15}::{1=22, 3=19}
CHKPTID1::896::{1=3, 3=4}::{1=1, 3=1}::{1=6, 3=10}
CHKPTID2::822::{1=6, 3=9}::{1=8, 3=11}::{1=12, 3=16}
CHKPTID1::886::{1=7, 3=7}::{1=1, 3=1}::{1=13, 3=14}
CHKPTID2::875::{1=12, 3=12}::{1=14, 3=16}::{1=17, 3=23}
CHKPTID1::811::{1=8, 3=4}::{1=1, 3=1}::{1=15, 3=12}
CHKPTID3::747::{1=12, 3=8}::{1=16, 3=14}::{1=23, 3=17}
