1172::{0=19, 1=11, 2=16}::{0=1, 1=1, 2=1}::{0=10, 1=5, 2=11}
1182::{0=32, 1=14, 2=26}::{0=12, 1=6, 2=12}::{0=17, 1=11, 2=16}
1178::{0=34, 1=16, 2=29}::{0=18, 1=12, 2=18}::{0=21, 1=12, 2=19}
1208::{0=36, 1=18, 2=34}::{0=18, 1=12, 2=18}::{0=24, 1=14, 2=20}
1330::{0=56, 1=31, 2=53}::{0=26, 1=15, 2=21}::{0=37, 1=26, 2=30}
1448::{0=77, 1=44, 2=68}::{0=39, 1=27, 2=31}::{0=46, 1=37, 2=45}
1165::{0=15, 1=10, 2=17}::{0=1, 1=1, 2=1}::{0=10, 1=7, 2=9}
1284::{0=24, 1=16, 2=26}::{0=11, 1=8, 2=11}::{0=16, 1=12, 2=17}
1003::{0=13, 1=5, 2=12}::{0=1, 1=1, 2=1}::{0=6, 1=7, 2=13}
1124::{0=20, 1=12, 2=23}::{0=1, 1=1, 2=1}::{0=10, 1=16, 2=19}
1128::{0=22, 1=15, 2=26}::{0=11, 1=18, 2=20}::{0=13, 1=19, 2=21}
1131::{0=27, 1=15, 2=28}::{0=11, 1=18, 2=20}::{0=17, 1=20, 2=23}
1180::{0=29, 1=17, 2=31}::{0=0, 1=21, 2=0}::{0=18, 1=23, 2=0}
997::{0=18, 1=7, 2=9}::{0=1, 1=1, 2=1}::{0=10, 1=9, 2=7}
1102::{0=18, 1=7, 2=11}::{0=1, 1=1, 2=1}::{0=9, 1=6, 2=11}
1092::{0=20, 1=7, 2=11}::{0=1, 1=1, 2=1}::{0=11, 1=7, 2=11}
1127::{0=18, 1=11, 2=10}::{0=1, 1=1, 2=1}::{0=6, 1=8, 2=12}
1189::{0=29, 1=17, 2=25}::{0=7, 1=10, 2=13}::{0=13, 1=14, 2=18}
1231::{0=32, 1=21, 2=31}::{0=15, 1=15, 2=19}::{0=16, 1=17, 2=20}
1267::{0=35, 1=23, 2=34}::{0=15, 1=15, 2=19}::{0=18, 1=18, 2=23}
1319::{0=36, 1=24, 2=37}::{0=19, 1=20, 2=24}::{0=20, 1=20, 2=24}
1196::{0=21, 1=13, 2=12}::{0=1, 1=1, 2=1}::{0=11, 1=7, 2=8}
1353::{0=31, 1=22, 2=23}::{0=1, 1=1, 2=1}::{0=17, 1=11, 2=16}
1367::{0=34, 1=25, 2=25}::{0=18, 1=13, 2=17}::{0=18, 1=17, 2=17}
1340::{0=36, 1=27, 2=29}::{0=18, 1=13, 2=17}::{0=20, 1=21, 2=18}
1289::{0=38, 1=29, 2=0}::{0=21, 1=23, 2=0}::{0=21, 1=24, 2=0}
1381::{0=53, 1=38, 2=46}::{0=23, 1=25, 2=19}::{0=32, 1=36, 2=26}
1397::{0=67, 1=48, 2=61}::{0=34, 1=37, 2=27}::{0=40, 1=54, 2=35}
1231::{0=22, 1=6, 2=18}::{0=1, 1=1, 2=1}::{0=9, 1=7, 2=10}
1425::{0=35, 1=14, 2=31}::{0=1, 1=1, 2=1}::{0=18, 1=14, 2=13}
1484::{0=39, 1=18, 2=33}::{0=19, 1=15, 2=15}::{0=21, 1=16, 2=16}
1483::{0=45, 1=18, 2=35}::{0=19, 1=15, 2=15}::{0=22, 1=20, 2=18}
1474::{0=46, 1=19, 2=38}::{0=0, 1=0, 2=20}::{0=0, 1=0, 2=22}
1678::{0=59, 1=31, 2=56}::{0=23, 1=21, 2=23}::{0=34, 1=28, 2=33}
1088::{0=19, 1=7, 2=11}::{0=1, 1=1, 2=1}::{0=7, 1=5, 2=14}
1102::{0=20, 1=8, 2=11}::{0=1, 1=1, 2=1}::{0=8, 1=5, 2=15}
1166::{0=30, 1=16, 2=20}::{0=10, 1=6, 2=16}::{0=14, 1=10, 2=22}
1219::{0=33, 1=19, 2=25}::{0=15, 1=12, 2=23}::{0=17, 1=13, 2=23}
1282::{0=36, 1=24, 2=31}::{0=15, 1=12, 2=23}::{0=19, 1=15, 2=27}
1324::{0=39, 1=26, 2=34}::{0=21, 1=0, 2=28}::{0=22, 1=0, 2=28}
1404::{0=57, 1=32, 2=49}::{0=23, 1=16, 2=30}::{0=33, 1=24, 2=39}
1507::{0=74, 1=47, 2=68}::{0=34, 1=25, 2=41}::{0=45, 1=37, 2=49}
1172::{0=18, 1=11, 2=13}::{0=1, 1=1, 2=1}::{0=6, 1=7, 2=13}
1246::{0=29, 1=16, 2=23}::{0=1, 1=1, 2=1}::{0=15, 1=11, 2=19}
1261::{0=34, 1=19, 2=27}::{0=16, 1=12, 2=21}::{0=17, 1=13, 2=22}
1239::{0=36, 1=22, 2=31}::{0=16, 1=12, 2=21}::{0=18, 1=14, 2=27}
1294::{0=38, 1=23, 2=35}::{0=0, 1=15, 2=29}::{0=0, 1=16, 2=29}
1407::{0=56, 1=33, 2=46}::{0=19, 1=18, 2=30}::{0=26, 1=30, 2=38}
1377::{0=0, 1=39, 2=63}::{0=28, 1=31, 2=39}::{0=40, 1=39, 2=51}
1042::{0=8, 1=4, 2=7}::{0=1, 1=1, 2=1}::{0=6, 1=7, 2=2}
1065::{0=12, 1=8, 2=11}::{0=8, 1=8, 2=3}::{0=10, 1=8, 2=5}
1091::{0=13, 1=10, 2=11}::{0=8, 1=8, 2=3}::{0=10, 1=9, 2=7}
1099::{0=15, 1=13, 2=16}::{0=12, 1=10, 2=8}::{0=14, 1=10, 2=10}
1233::{0=13, 1=11, 2=9}::{0=1, 1=1, 2=1}::{0=2, 1=8, 2=5}
1318::{0=20, 1=14, 2=15}::{0=4, 1=9, 2=6}::{0=4, 1=12, 2=7}
1316::{0=22, 1=16, 2=16}::{0=4, 1=9, 2=6}::{0=5, 1=12, 2=9}
1366::{0=25, 1=18, 2=22}::{0=6, 1=13, 2=11}::{0=7, 1=15, 2=12}
1408::{0=34, 1=20, 2=32}::{0=9, 1=16, 2=13}::{0=13, 1=24, 2=19}
1184::{0=11, 1=9, 2=8}::{0=1, 1=1, 2=1}::{0=5, 1=6, 2=3}
1203::{0=15, 1=12, 2=12}::{0=6, 1=7, 2=5}::{0=9, 1=9, 2=5}
1186::{0=16, 1=12, 2=14}::{0=6, 1=7, 2=5}::{0=10, 1=9, 2=6}
1158::{0=21, 1=14, 2=16}::{0=11, 1=11, 2=7}::{0=14, 1=12, 2=8}
1164::{0=25, 1=0, 2=19}::{0=15, 1=14, 2=0}::{0=16, 1=15, 2=0}
1158::{0=12, 1=7, 2=10}::{0=1, 1=1, 2=1}::{0=6, 1=3, 2=4}
